factor_registration_number,factor_name,google_place_id,location_number,author_name,review_rating,review_text,review_time,review_relative_time
PF000530,Abacus Property Factors Ltd,ChIJP6o3umG_h0gRp-1veAHzjTU,1,James Wallace,5,"We have used Abacus Property Factors for two years and always found their services to be carried out in an efficient, effective and economical manner. I would have no hesitation in recommending them. Jackie always communicates promptly.",1687199009,2 years ago
PF001065,Abba Land and Property Limited,ChIJpUB2qZRBiEgRJLig8ItGSNw,3,hamed bayati,5,"After the other estate agent put me down, one of my friends advised me to put my property on market again by AB property estate agents.
Since beginning I received a professional service. They always respond quickly and have very good communications with both sides, they made my property sale process very smoothly and stress free.
I am very happy with their services and strongly recommend them.
Thanks Alex and Morgan",1764356012,a month ago
PF001065,Abba Land and Property Limited,ChIJpUB2qZRBiEgRJLig8ItGSNw,3,Danielle Cameron,5,"I can’t recommend AB Property enough. From my first initial contact with Morgan in the office, to Alex who came out to my property for a valuation, to Lesley in sales. Everyone made me feel so relaxed and at ease at something that can be so stressful! Their level of professionalism and research makes the difference. A great team all throughout. Not to mention I bought my property from them also, and again, they made it so easy and relaxed to deal with.",1763990676,a month ago
PF001065,Abba Land and Property Limited,ChIJpUB2qZRBiEgRJLig8ItGSNw,3,Thomas Lohse,5,It's the 2nd time I used AB Property. 2 years ago I bought my first flat and now I sold it with them. I can't thank them enough for the smooth sale and the personalised care from the whole team during the process. Especially Bill was a big help for me in porting my mortgage and even corresponding with other agents to buy my new house. I can't recommend AB Property enough. It was a fantastic experience with them from start to finish.,1765190286,a month ago
PF001065,Abba Land and Property Limited,ChIJpUB2qZRBiEgRJLig8ItGSNw,3,Mary Duff,5,"Had my house sale completed this year and also my mums recently and everything from start to finish went smoothly with them both.
Everyone was very helpful and they kept in touch regularly.
Wouldn’t hesitate to recommend AB Property Consultants to anyone selling their home
Thanks for such a great service.",1765387799,a month ago
PF001065,Abba Land and Property Limited,ChIJpUB2qZRBiEgRJLig8ItGSNw,3,Richard Brian Wheeler,5,"I'm a Private Landlord with a small letting portfolio. Over the last 16 years I've used various letting agents, most disappointed for various reasons.
I switched to AB Property Consultants 4 Years ago, and what an excellent company,  friendly efficient staff, great Marketing, and best photography I've experienced.
I'm happy to recommend them for buying, selling or for rental services.
Richard Wheeler.
Landlord.",1764338712,a month ago
PF000534,Abbey Construction (Scotland) Ltd,ChIJ-z3p1k5JiEgR7LaDZYnJkvQ,1,Samantha Blair,5,Abbey Services recently supplied and fitted a new composite sink and mixer tap in my home. They removed the old sink and fitted the new one seamlessly and professionally and left the area spotless as though they had never been. The sink and tap are perfect - can’t fault the service or professionalism!,1656399568,3 years ago
PF000534,Abbey Construction (Scotland) Ltd,ChIJ-z3p1k5JiEgR7LaDZYnJkvQ,1,Alan Ralph,5,The team at Abbey Services did a fantastic job installing our media wall with integrated fire. Very professional & left our house tidy at the end of each shift. Thanks again for all your efforts 👍🏻,1743408820,9 months ago
PF000534,Abbey Construction (Scotland) Ltd,ChIJ-z3p1k5JiEgR7LaDZYnJkvQ,1,Darren Ross,5,"Called Abbey Services on Monday evening to quote for a wireless alarm to upgrade my existing alarm. Derek came over and priced a AJAX system that would be able to work through my phone and now can be alarmed remotely. I had agreed a price on Tuesday afternoon and was fitted before 13:00 on the WEDNESDAY! Ryan who came to do the installation of the alarm couldn't of been more professional.

All round great service and would use again without a doubt.",1622035627,4 years ago
PF000534,Abbey Construction (Scotland) Ltd,ChIJ-z3p1k5JiEgR7LaDZYnJkvQ,1,Bernard Ivers,5,Have used Abbey Services now for 5 years.During that time I have had a boiler fitted and also smoke alarms fitted etc. I have also had plumbing work done in the bathroom. I have always found that their workmanship is to the highest standard. They are always reliable and are there when they say they will be. I would have no hesitation in recommending them for any job big or small,1737054732,11 months ago
PF000534,Abbey Construction (Scotland) Ltd,ChIJ-z3p1k5JiEgR7LaDZYnJkvQ,1,John Sharkey,5,"After struggling to find a reliable company to carry out some plumbing for me. I came across Abbey Services and I'm so glad I did. Yes, they are a bit more expensive than some but that reflects in the quality service. Everything from getting the quote to having the work carried out took less than a week.

The chap that arrived to do the work, who's name I have forgotten was in and out in no time having done one of the neatest bits of plumbing I've ever seen.

Derek, who dealt with my enquiry and emails was incredibly helpful and even allowed me to pay for the job on the day with when I had mentioned that paying up front made me feel a bit uneasy, however not a concern I'd have again in the future.

This company has truly earned the rating it has. If you're in any doubt and using them, then don't be. You won't be disappointed.",1739728364,10 months ago
PF000256,Abbey Forth Property Management Limited,ChIJEdt0qBvSh0gRrK2dw8uCV80,1,Micaela Reid,4,"Fiona and Stuart were such a big help when we moved to our rental property, both wonderful people and have been very professional and kind. I would 100% recommend Abbey Forth! The move from my old house to the property we are in now was smooth and fast. Great customer service! Thank you both so much :)",1757699628,4 months ago
PF000256,Abbey Forth Property Management Limited,ChIJEdt0qBvSh0gRrK2dw8uCV80,1,Trish Campbell,1,"Avoid at all costs. They do not pass vital information to potential buyers and their “marketing” is based images taken on an iphone. Tried to raise dissatisfaction and main points of complaint were ignored with response being a threat of legal action rather than an offer to discuss.
Absolutely would not recommend.",1764409482,a month ago
PF000256,Abbey Forth Property Management Limited,ChIJEdt0qBvSh0gRrK2dw8uCV80,1,R W,1,"If it was possible, I'd have given Abbey Forth zero stars. Here's my experience with them:

The place I rented from Abbey Forth had not been cleaned when I moved in. It was in a disgusting state with several broken fixtures. I took many photos and informed them that, because I was having to clean my new flat, I wouldn't be paying for the place to be professionally cleaned when I moved out.

Throughout my year at the property, they were unprofessional and unhelpful when other problems arose: trying to charge me for boiler repairs (a boiler which was leaking on day 1), failing to resolve a drainage issue outside the kitchen door and, worst of all, falling to resolve an infestation of slugs in the kitchen - an obvious health hazard.

When I moved out, they unsurprisingly tried to deduct £190 from my deposit for cleaning. I successfully disputed this charge with the deposit scheme, using the pictures and emails I'd sent them over the length of the tenancy. The deposit scheme found that, as the property was not cleaned to a good condition for the start of the tenancy, that I should only having to pay £60

In summary: Abbey Forth is the worst estate agent I've ever used. Rude staff and a general ethos of trying to squeeze money out of tenants for as little effort as possible. Only sign up with them if you are desperate and have no other options. If this is the case, then please make sure you document everything for the inevitable struggle to get your deposit back",1675846051,2 years ago
PF000256,Abbey Forth Property Management Limited,ChIJEdt0qBvSh0gRrK2dw8uCV80,1,Laura Munro,5,"I wanted to share a positive review of Abbey Forth as new tenants. Stuart was very helpful assisting in securing a property for us to rent with two small dogs which can be difficult. He also organised with the landlord to ensure we had a washing machine  (previous tenant had taken this). We did have issues with getting the washing machine installed, not through fault of Abbey Forth but we were kept updated along with way whilst waiting for a plumber to come out. Think it’s important to share that our experience has been positive so far with the company!",1719852305,a year ago
PF000256,Abbey Forth Property Management Limited,ChIJEdt0qBvSh0gRrK2dw8uCV80,1,Daniel Hinton,3,"First year was good, second year not as clear cut, had to follow up regarding rental payments etc. Quite stressful",1762016708,2 months ago
PF000342,ABE Factors Ltd,ChIJCdYN5AB6HK8ROUIbeltAFsM,2,Greig Forbes,5,"Our building moved to Factors Direct a little over a year ago. Storms and pre-existing issues have caused lots of roof problems, but they’ve been a constant help in sorting out repairs and getting agreement among owners for work to be done - all the stuff you don’t want to have to deal with personally. Consistently good communication. Happy with the service I’ve received.",1764335413,a month ago
PF000342,ABE Factors Ltd,ChIJCdYN5AB6HK8ROUIbeltAFsM,2,K m,5,I am so happy our tenement switched to Factors Direct! They are a vast improvement on our previous factors. Their service is personal and they are quick to respond to requests and emails. I am delighted with the sub contractors they use for the garden and close and all the costs are reasonable too.,1764846886,a month ago
PF000342,ABE Factors Ltd,ChIJCdYN5AB6HK8ROUIbeltAFsM,2,Phoebe Gallacher,5,"Used to be with Ross and Liddell in our old property moved to new house where factors direct were factors and we can honestly say they have been brilliant one phone call and the problem is fix within a few days with top quality tradesmen, we do highly recommend Factors Direct they do what they say",1766571711,2 weeks ago
PF000342,ABE Factors Ltd,ChIJCdYN5AB6HK8ROUIbeltAFsM,2,Jerry Bolton,5,"Changing factors , I was told, isn't easy.  Wrong - it was way harder.
But we had to .
The research and feedback produced only 1 result - Factors Direct.  It took some months to get the transfer done but FD were discreetly there every step of the way.
Two months in now and things are starting to click;
Gardeners properly instructed and a 2 year contract agreed
Electricity tariff for communal areas in apartment blocks being assessed (previous factor let it lapse onto highest tariff)
Buildings insurance for same extensively researched
Sensible application for minor repairs (previously : 2 light bulb replacement = £300 "" it was in our authorised limit."")

But the main thing is communication.  Communication is key.
So far, so very good",1719330321,a year ago
PF000342,ABE Factors Ltd,ChIJCdYN5AB6HK8ROUIbeltAFsM,2,Colin Davenport,5,"Factors direct have been excellent so far, really glad we made the switch to them this year, they were so helpful during this process as well. Recommended!",1742406437,9 months ago
PF000342,ABE Factors Ltd,ChIJiXVDmqRGiEgRU3e37-_5HqU,3,Jordan Smith,1,"I’ve been looking at the reviews just to see what they’re like online because I haven’t heard a good thing about them from anyone in the estate. We have all been talking a lot recently about them, and no one likes them and wants them gone. They rob you of your money with their overcharges. Everyone I’ve told about my charges has said the same thing, they’re ridiculous. My friend has a new build and he pays a lot less to maintain their grounds. Another friend also pays a lot less, and I’m talking under £100 with no huge balance. I seriously think they need to be investigated as a company because something is not right. Nearly £4000 for grass cutting seems excessive especially when the job is not done correctly. They also bill you for gardening but the planting is awful. The gardeners were here yesterday and they done nothing which more than just me noticed.The buzzer systems on all flats also don’t work.

Avoid these crooks like the plague. Do not buy a property that they are factoring. I have attached some photos of the ground currently that have been neglected.",1743084104,9 months ago
PF000342,ABE Factors Ltd,ChIJiXVDmqRGiEgRU3e37-_5HqU,3,Alison M,1,"If I could give minus rating I would. Strachur Wharf as its poshly known has a problem with fly tipping at bin store on Strachur Grove. JG put up a camera at residents expense to deter this, spoke with Jordan who is development manager to be told camera is a ""dummy"" camera and there is nothing further they can do but to contact GCC as it is an environmental issue with leaving items at bin shelter. The residents here in houses pay for their own bulk uplift but are expected to contribute to the communal bin area which we are not ""allowed"" use as it's sole use is for flats it sits beside.
We pay a quarterly fee to have these clowns ""manage"" the development and what do we get in return ?? Very little to nothing, an appalling management service which should be avoided !!",1762171963,2 months ago
PF000342,ABE Factors Ltd,ChIJiXVDmqRGiEgRU3e37-_5HqU,3,Зоя Маринова,1,I notified the factor about this problem three months ago!!! Water is entering the gas boiler and it is blocking! This morning it was full of water again and I have no heating😡😡😡Shame on this company!!! The bills are insanely high and we don't get any support! Where is our money going????P.S Your answer is inadequate to say the least! I can see a leak in the gutters and that's where the problem with my water heater comes from! It's impudent of you to write to me that the water heater is not your problem🤨😡,1762779425,2 months ago
PF000342,ABE Factors Ltd,ChIJiXVDmqRGiEgRU3e37-_5HqU,3,Susan Regan,1,"Absolutely hopeless factors . I've lived at my property for 7 years now . Having to pull my bins through my house, due to other neighbours blocking access to the path with their own bins. Have asked for support from factors to ask if they can remove them . All nice on the phone but have done absolutely nothing to help . Nest time they try to over charge me for other neighbours bulk uplifts I know exactly where I'll be telling them to go . Over charging company with no support at all",1756822879,4 months ago
PF000342,ABE Factors Ltd,ChIJiXVDmqRGiEgRU3e37-_5HqU,3,queen angel,1,"I wish there was an option to give zero stars. Absolutely awful service from this company to the point I'm considering legal action. Refuse to complete communal repairs for areas not on your title deeds. They send generic responses when you challenge them on the information they supply that is incorrect. If you can, avoid this company at all costs. The reviews speak for themselves. I think they hope people will roll over and let things go if they ignore the issue long enough but unfortunately for them that won't be happening on this occasion.",1756121781,4 months ago
PF000255,Aberdeen City Council,ChIJQ9wMMTwOhEgR2PCSS1C7ba4,1,Rafal Bryla,1,"I recently paid a £50 reduced parking penalty charge despite holding a valid residents’ permit purchased for two vehicles at a cost of £150. Unfortunately, I forgot to update the vehicle registration number when changing cars. I appealed the PCN, explaining that this was a genuine administrative oversight rather than misuse of parking entitlement, but the appeal was rejected. While I understand the rules, I feel the decision lacked proportionality and discretion given that a valid permit was in place. I hope this feedback helps improve how similar cases are considered in the future.",1765823410,3 weeks ago
PF000255,Aberdeen City Council,ChIJQ9wMMTwOhEgR2PCSS1C7ba4,1,Stewart Side,1,"So Aberdeen city council have commended there bullies who work for NES, on intimidating people by getting into faces and issuing fines as well as commending them on breaking the law, breaking Disability law and breaking the Human rights law, this commendation was given by Senior Compliance officer Daniel. Who also has lied by saying I’m not allowed to see the footage but on the government website it says I have every right to see it as it’s my GDPR.",1763044258,a month ago
PF000255,Aberdeen City Council,ChIJQ9wMMTwOhEgR2PCSS1C7ba4,1,Daniel,5,"This is the head office for Aberdeen city council, who are located in this beautiful building. The office is fully accessible to all individuals and can be easily travelled to by numerous bus services.  The staff do had fantastic job that many would not want to do.",1724778519,a year ago
PF000255,Aberdeen City Council,ChIJQ9wMMTwOhEgR2PCSS1C7ba4,1,Jennifer Holman,1,"Next to impossible to get hold of - website doesn't load even when trying on multiple browsers, so you can't do an online query. Then if you do eventually get in to make a query, it takes 90 days for a response, by which time it'll have been a waste of time contacting them. Or, you can sit on the phone for hours of your day to be cut off - and you can't even email them. Completely inaccessible.",1719838715,a year ago
PF000255,Aberdeen City Council,ChIJQ9wMMTwOhEgR2PCSS1C7ba4,1,Victoria Viki,1,Waiting 2 hours to report repair to be done. No enough staff or what?,1764156024,a month ago
PF000255,Aberdeen City Council,ChIJA2T9i-8NhEgR0fn1KBNNa8o,2,Aleem Afzal,5,,1646337547,3 years ago
PF000255,Aberdeen City Council,ChIJA2T9i-8NhEgR0fn1KBNNa8o,2,Masood Ahmed Qureshi,5,,1633282152,4 years ago
PF000255,Aberdeen City Council,ChIJA2T9i-8NhEgR0fn1KBNNa8o,2,Zein Ali,5,,1618096671,4 years ago
PF000255,Aberdeen City Council,ChIJMX_nsz0OhEgRMT83Q6JJiWI,3,Marvin Wan,4,"It's a nice building, very attractive!",1580790999,5 years ago
PF000255,Aberdeen City Council,ChIJMX_nsz0OhEgRMT83Q6JJiWI,3,Alan Robb,1,Its clear who completes the 'Reviews' here its the local council workers. There is no way these reviews are accurate. Years ago maybe but since covid getting to speak to a department has been horrific,1749200423,7 months ago
PF000255,Aberdeen City Council,ChIJMX_nsz0OhEgRMT83Q6JJiWI,3,J G,1,"Absolute shambles, visited on Friday 27th Sep to obtain a bus pass, arrived 14.15 and advised waiting time was 10-15 mins, fair enough, an hour later still waiting, staff advised me they had no idea how when I could be seen, maybe another hour? had to leave, couldn't wait another hour, or more, this application can not be done on line as I have to show documentation, plenty of staff on duty but just chatting amongst themselves and not about work! shocking service from city council who treat their citizens with contempt.",1569662340,6 years ago
PF000255,Aberdeen City Council,ChIJMX_nsz0OhEgRMT83Q6JJiWI,3,Alasdair Forsyth,1,"Great building, but nothing short of a circus inside.",1741117044,10 months ago
PF000255,Aberdeen City Council,ChIJMX_nsz0OhEgRMT83Q6JJiWI,3,Ronald Mathieson,5,Thank you for the excellent service given to me today by the gentleman on the door the lady on the phone and the lady from archives births deaths and marriages thank you 😊,1707143381,a year ago
PF000255,Aberdeen City Council,ChIJm2LS9N8RhEgR1vQsToyZysA,4,Aaron Wallace,5,"While I ultimately went with a flat let out by a different agency, Aberdeen Property Leasing was absolutely fantastic in assisting me. Liam Coull in particular was exceptionally helpful and knowledgeable during our viewing, going above and beyond in answering questions not only about the property, but the surrounding area.",1762952418,a month ago
PF000255,Aberdeen City Council,ChIJm2LS9N8RhEgR1vQsToyZysA,4,Helena Young,1,"They didn’t publish my other review despite telling the truth. I suspect APL are taking down any bad reviews and only keeping up the good ones. Terrible letting agency, never took accountability for issues or held landlord accountable. Had to get an apology from a staff member who I won’t name because they will probably take down the review again.

Constant back and forth between them and then they needed to wait for landlord to respond before proceeding with repairs which often took weeks at a time. Anyway overall the experience was terrible. House was in awful condition when we received it. We called on the day because the carpet in the living room had a massive stain on it which looked like someone had died there. But when we moved out we got charged for this stain and they held onto our deposit for 3 months by purposely leaving there side of things til the last minute to drag it out in the hopes we’d give up. They also threatened us with £3000 worth of repairs because the landlord was selling the properly but they were just trying to con us because he hadn’t up kept it during his ownership. We also said we wanted a long term tenancy and less than a year into it they sent us a notice of eviction. We actually spotted it was for sale when we moved in and we were promised the listing would be taken down but it wasn’t so they knew it was for sale the whole time but assured us it wasn’t and then when it was convenient they kicked us out as we complained to council about them a few times. Anyway. Terrible letting agency. Avoid.",1765935613,3 weeks ago
PF000255,Aberdeen City Council,ChIJm2LS9N8RhEgR1vQsToyZysA,4,Penrose Kinja,5,"It has been 2 weeks now since moving into our new home via the Aberdeen property leasing and the experience couldn't be any smoother. From the quick response to questions and concerns by the lead consultant (Liam), to timely flow of information and simplicity of instructions and steps given, we loved the experience every step of the way.
Thank you so much, you are an amazing team, keep doing what you do best.",1758055146,3 months ago
PF000255,Aberdeen City Council,ChIJm2LS9N8RhEgR1vQsToyZysA,4,Steph Munro,5,"We have had a fantastic experience letting our house through Aberdeen Property Leasing. Going through the process for the first time was daunting but Stuart ensured it was as easy as possible and supported us throughout, answering our many questions and offering his honest advice. Would highly recommend! Thanks so much APL!",1756407363,4 months ago
PF000255,Aberdeen City Council,ChIJm2LS9N8RhEgR1vQsToyZysA,4,Ryan Gordon,5,"Excellent service, this is my first time renting out a property and they kept me right along the way and explained every question I had. Would definitely recommended for property management. A special mention for Liam who has been my main point of contact , going above his usual duties just to try and keep things simple and streamlined for me, excellent member of the team to have.",1756882752,4 months ago
PF000255,Aberdeen City Council,ChIJJ1ogD_8PhEgRFJRlUl07kN8,5,Krn Shrn,1,if I could give zero stars I would. receptionist was lovely though.,1724358131,a year ago
PF000255,Aberdeen City Council,ChIJJ1ogD_8PhEgRFJRlUl07kN8,5,Derek Wilson,1,Pathetic,1692966038,2 years ago
PF000255,Aberdeen City Council,ChIJJ1ogD_8PhEgRFJRlUl07kN8,5,Samantha paterson,1,,1672756387,3 years ago
PF000371,Aberdeenshire Council,ChIJ9USyiBWBhEgRd5Rsk3s7WK4,1,Stan Watt,1,"Absolutely awful. Countless emails, MP contacts them, phone calls and they ignore the lot. Solar panels still not connected after two years of decorating the roof. Lawyer time.",1664274259,3 years ago
PF000371,Aberdeenshire Council,ChIJ9USyiBWBhEgRd5Rsk3s7WK4,1,Albert Morrice,4,,1507904816,8 years ago
PF000371,Aberdeenshire Council,ChIJXSUmKJURhEgRawYj4xcJ2Ks,2,A C,1,"Aberdeenshire council are useless.  Bins never emptied around Fyvie, in any weather. Demanding residents to wash everything,  fold everything nicely, carry bins right to the truck to main roads, don't recycle 9 out of 10 usually recycling items, and they still not gonna empty your bins.",1671403430,3 years ago
PF000371,Aberdeenshire Council,ChIJXSUmKJURhEgRawYj4xcJ2Ks,2,Stevie Graham,4,Fairly easy to get parked at if you need to go there.,1449046384,10 years ago
PF000371,Aberdeenshire Council,ChIJXSUmKJURhEgRawYj4xcJ2Ks,2,Osiris Sirius,5,"Great, easy to find large car park.",1469224715,9 years ago
PF000371,Aberdeenshire Council,ChIJXSUmKJURhEgRawYj4xcJ2Ks,2,Marcus McLernon,3,Not open to the public at this office.,1447767017,10 years ago
PF000371,Aberdeenshire Council,ChIJXSUmKJURhEgRawYj4xcJ2Ks,2,Simply Delicious Inverurie,1,Very helpful,1471861661,9 years ago
PF000371,Aberdeenshire Council,ChIJ2dSOqmhxhEgRiFxU0Av6BiM,3,Michaela McLean,1,"Rude and condescending emails, no deposit back, attempted to get hundreds of pounds in 'damage' in addition to the deposit, and after one email they apologised and just took the deposit - would have unnecessarily lost out on a lot of money had we not cleared this up with them. Slight damage from dogs was nowhere near the quote and deposit taken - scammers.",1762383067,2 months ago
PF000371,Aberdeenshire Council,ChIJ2dSOqmhxhEgRiFxU0Av6BiM,3,Paul Middleton,5,"Great company, because they concentrate in the ellon and surrounding area you get the best tenants, rates and most important of all: your property never stays empty for long one a tenant moves on! 😁👍",1762354175,2 months ago
PF000371,Aberdeenshire Council,ChIJ2dSOqmhxhEgRiFxU0Av6BiM,3,Martin Apps,5,"Excellent communication from staff, always happy to help when needed. Quick at getting any repairs sorted when an issue was raised. Always polite and respectful when doing inspections",1754425669,5 months ago
PF000371,Aberdeenshire Council,ChIJ2dSOqmhxhEgRiFxU0Av6BiM,3,Safe Ads,5,"Angie's exceptional service at Aberdeenshire Leasing made a significant difference during my search for a new home. Her willingness to assist beyond regular working hours, combined with her in-depth knowledge of the local property market and her warm and approachable manner, turned what could have been a complex process into a straightforward and enjoyable one. Angela's commitment to her clients truly shines through. Many thanks again Angie! Lee.T",1697573497,2 years ago
