factor_registration_number,factor_name,google_place_id,google_name,rating,review_count,address,phone,website,is_verified,google_maps_url,latitude,longitude,location_number,business_status,business_types
PF000342,ABE Factors Ltd,ChIJiXVDmqRGiEgRU3e37-_5HqU,James Gibb Residential Factors,2.2,224,"Red Tree Magenta, 270 Glasgow Rd, Rutherglen, Glasgow G73 1UZ, UK",0333 240 8325,http://www.jamesgibb.co.uk/,True,https://maps.google.com/?cid=11898222074473707347,55.8384773,-4.227170699999999,3,OPERATIONAL,"establishment, point_of_interest"
PF000255,Aberdeen City Council,ChIJQ9wMMTwOhEgR2PCSS1C7ba4,Aberdeen City Council,1.5,26,"Broad St, Aberdeen AB10 1LP, UK",0300 020 0292,https://www.aberdeencity.gov.uk/services/have-your-say/contact-us,True,https://maps.google.com/?cid=12568908088600621272,57.1482065,-2.0955355,1,OPERATIONAL,"establishment, point_of_interest"
PF000255,Aberdeen City Council,ChIJA2T9i-8NhEgR0fn1KBNNa8o,Aberdeen Property Consultants Ltd,5,3,"Greenburn House, Aberdeen AB21 9UA, UK",01224 968588,http://aberdeenpropertyconsultants.co.uk/,True,https://maps.google.com/?cid=14585836562856409553,57.18816529999999,-2.1937037,2,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000255,Aberdeen City Council,ChIJMX_nsz0OhEgRMT83Q6JJiWI,Aberdeen City Council,3.9,33,"Ground Floor, Broad St, Aberdeen AB10 1AB, UK",0300 020 0292,http://www.aberdeencity.gov.uk/,True,https://maps.google.com/?cid=7100287248787521329,57.1490171,-2.0964358,3,OPERATIONAL,"establishment, point_of_interest"
PF000255,Aberdeen City Council,ChIJm2LS9N8RhEgR1vQsToyZysA,Aberdeen Property Leasing,3.8,710,"Rosemount House, 138-140 Rosemount Pl, Aberdeen AB25 2YU, UK",01224 635355,http://www.primelet.com/,True,https://maps.google.com/?cid=13892084828463756502,57.1498163,-2.1170255,4,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000255,Aberdeen City Council,ChIJJ1ogD_8PhEgRFJRlUl07kN8,Aberdeen City Council Operations and Protective Services,1,3,"Powis Terrace, Aberdeen AB25 3RF, UK",,,True,https://maps.google.com/?cid=16109441139104650260,57.1614012,-2.1142929,5,OPERATIONAL,"establishment, point_of_interest"
PF000371,Aberdeenshire Council,ChIJ9USyiBWBhEgRd5Rsk3s7WK4,Housing Department Aberdeenshire Council,2.5,2,"55 Mid St, Fraserburgh AB43 9EP, UK",01346 514866,https://www.aberdeenshire.gov.uk/housing/housing-portal,True,https://maps.google.com/?cid=12562856562490381431,57.691925,-2.0091151,1,OPERATIONAL,"establishment, point_of_interest"
PF000371,Aberdeenshire Council,ChIJXSUmKJURhEgRawYj4xcJ2Ks,Aberdeenshire Council Headquarters,3,6,"Woodhill House, Westburn Rd, Aberdeen AB16 5GB, UK",0345 608 1208,http://www.aberdeenshire.gov.uk/,True,https://maps.google.com/?cid=12382657173654799979,57.1527684,-2.1474822,2,OPERATIONAL,"establishment, local_government_office, point_of_interest"
PF000371,Aberdeenshire Council,ChIJ2dSOqmhxhEgRiFxU0Av6BiM,Aberdeenshire Leasing,4.2,69,"5, 32 Bridge St, Ellon AB41 9AA, UK",0800 772 3294,http://aberdeenshireleasing.co.uk/,True,https://maps.google.com/?cid=2523979569834515592,57.36458270000001,-2.0738342,3,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000371,Aberdeenshire Council,ChIJIc1LziiEg0gRuDJy0rLFeuQ,Aberdeenshire Council,2,12,"Buchan House, St Peter St, Peterhead AB42 1QF, UK",0345 608 1208,https://www.aberdeenshire.gov.uk/,True,https://maps.google.com/?cid=16463688759631819448,57.5052065,-1.7837985,4,OPERATIONAL,"establishment, point_of_interest"
PF000371,Aberdeenshire Council,ChIJ1RdolmoOhEgRJPSOgPZNACU,PMC Property Management & Lettings,2.5,88,"PMC House, Little Square, Oldmeldrum, Inverurie AB51 0AY, UK",01651 873838,https://www.pmcproperty.com/,True,https://maps.google.com/?cid=2666216700517479460,57.33519069999999,-2.319872,5,OPERATIONAL,"establishment, point_of_interest"
PF000206,Abertay Housing Association Ltd,ChIJW-Y2GaldhkgR1d5LTUQ-45E,Abertay Housing Association,3.1,43,"147 Fintry Dr, Dundee DD4 9HE, UK",01382 903545,http://www.abertayha.co.uk/,True,https://maps.google.com/?cid=10512314418288385749,56.4900144,-2.94022,1,OPERATIONAL,"establishment, point_of_interest"
PF000206,Abertay Housing Association Ltd,ChIJp0lFmuVchkgRdRoBsDfuD64,Abertay Housing Association,3.7,3,"57 Dykehead Pl, Dundee DD4 6TJ, UK",01382 450993,,True,https://maps.google.com/?cid=12542505410193594997,56.4712829,-2.9635993,2,OPERATIONAL,"establishment, point_of_interest"
PF001129,Abiconn Ltd,ChIJpUB2qZRBiEgRJLig8ItGSNw,AB Property Consultants & Estate Agents,4.7,296,"211 Glasgow Rd, Baillieston, Glasgow G69 6EZ, UK",0141 773 4000,http://www.abpropertyconsultants.co.uk/,True,https://maps.google.com/?cid=15873014453518776356,55.8497335,-4.1320768,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF001129,Abiconn Ltd,ChIJk3E8c55GiEgRX6feONyNcrw,Beacon Brooke Ltd,5,1,"8 John St, Glasgow G1 1JQ, UK",0141 648 5260,http://beaconbrooke.com/,True,https://maps.google.com/?cid=13579071803461904223,55.86003290000001,-4.2475384,3,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000861,AboveBoard Homes Ltd,ChIJ_Y2Ts-q5h0gR5xAZsE0svcM,AboveBoard Homes,4.7,24,"5 S Charlotte St, Edinburgh EH2 4AN, UK",0131 385 1118,https://www.aboveboard.homes/,True,https://maps.google.com/?cid=14104478320172798183,55.9508818,-3.2057609,1,OPERATIONAL,"establishment, point_of_interest"
PF000943,Acre Lettings Ltd,ChIJiX6uQf64iUgRPxCMwRXFTC4,Acre Letting Ltd,3,6,"6 Stanlane Pl, Largs KA30 8DA, UK",01475 686898,http://www.acrelettings.co.uk/,True,https://maps.google.com/?cid=3336258121206861887,55.79374139999999,-4.8687701,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF001092,Afton Builders Limited,ChIJ-Q0XQeudYkgRjJ2zppvJ21k,Kindbuild Ltd,4,1,"12 Mansfield Heights, New Cumnock, Cumnock KA18 4DY, UK",01290 332182,,True,https://maps.google.com/?cid=6474990559629122956,55.4024979,-4.1775106,1,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF001091,AGM Property Management,ChIJ79L_jChEiEgRUkH1gn2a2CI,AGM Group,4.8,4,"30 Loanbank Quadrant, Glasgow G51 3HZ, UK",0141 445 0740,http://www.agmgroup.co.uk/,True,https://maps.google.com/?cid=2510926656117752146,55.8585769,-4.3180759,2,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF001091,AGM Property Management,ChIJkzPLAnwyhEgRDRttzmQXXFk,AGM Construction Aberdeen Ltd,4.6,10,"11 Murray's Ln, Torry, Aberdeen AB11 9AE, UK",01224 870673,http://agm.scot/,True,https://maps.google.com/?cid=6439047288960391949,57.1375882,-2.0917954,4,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF000496,Ainsley Smith & Co Ltd,ChIJ-XSSWcjMjkgRY5CI9WKG3rE,Ainsley Smith & Co Ltd,,0,"91 High St, Fort William PH33 6DG, UK",01397 706481,https://www.ainsleysmith.co.uk/,True,https://maps.google.com/?cid=12816829349127295075,56.8172258,-5.112680399999999,1,OPERATIONAL,"accounting, establishment, finance, point_of_interest"
PF000496,Ainsley Smith & Co Ltd,ChIJsyoKmAlniUgRck5fybCOSbI,Ainsley Smith & Co,,0,"21 Argyll Square, Oban PA34 4AT, UK",01631 567007,https://www.ainsleysmith.co.uk/,True,https://maps.google.com/?cid=12846956301994905202,56.4118205,-5.4722712,2,OPERATIONAL,"accounting, establishment, finance, point_of_interest"
PF000983,ALAN A HAXTON,ChIJnfMZC0lTiEgRWBBdnT3ptDQ,Haxton Property,5,31,"15 Station Rd, Dumbarton G82 1SA, UK",01389 719000,https://www.haxtonproperty.co.uk/,True,https://maps.google.com/?cid=3797916836622569560,55.94626909999999,-4.5714887,1,OPERATIONAL,"establishment, point_of_interest"
PF000477,Alan Sneddon,ChIJ2RQ9uZ95iEgRPB9iAt3slrY,Sneddon Surveys Ltd,,0,"Grangemouth Enterprise Centre, Falkirk Rd, Grangemouth FK3 8XS, UK",01324 474790,https://www.sneddensurveys.co.uk/,True,https://maps.google.com/?cid=13156963795381395260,56.0112396,-3.7448123,4,OPERATIONAL,"establishment, point_of_interest"
PF000670,Alderglen Factor Association,ChIJwXkO2DJHiEgRs-TDcADzKAk,Ardenglen Housing Association Ltd,3.9,37,"355 Tormusk Rd, Glasgow G45 0HF, UK",0141 634 8016,http://www.ardenglen.co.uk/,True,https://maps.google.com/?cid=660044528627213491,55.8051863,-4.2137435,1,OPERATIONAL,"establishment, point_of_interest"
PF000670,Alderglen Factor Association,ChIJqQp6hT1HiEgR9zYnakzvbhs,Craigdale Housing Association Ltd,5,5,"83-85 Dougrie Rd, Glasgow G45 9NS, UK",0141 634 6473,http://www.craigdaleha.co.uk/,True,https://maps.google.com/?cid=1976780397939734263,55.8037096,-4.2416086,3,OPERATIONAL,"establishment, point_of_interest"
PF000670,Alderglen Factor Association,ChIJ0cH12i1BiEgR_kklMgKcnUY,Rutherglen & Cambuslang Housing Association,3.1,16,"16 Farmeloan Rd, Rutherglen, Glasgow G73 1DL, UK",0141 647 4917,http://www.randcha.co.uk/,True,https://maps.google.com/?cid=5088394687243700734,55.8285515,-4.2100691,4,OPERATIONAL,"establishment, point_of_interest"
PF000521,Alison Bruce Property Management Ltd,ChIJdxzCmtZChkgRoVeeP4jTwZY,Alison Bruce Property Management Ltd,1.7,17,"77 Macalpine Rd, Dundee DD3 8RE, UK",01382 816141,https://www.alisonbruceproperty.com/,True,https://maps.google.com/?cid=10863196358330701729,56.48828349999999,-3.0065406,1,OPERATIONAL,"establishment, point_of_interest"
PF000181,Almond Housing Association Limited,ChIJgQrXcvLbh0gR5atAjTJnyAA,Almond Housing Association,3.4,63,"44 Etive Walk, Livingston EH54 5AB, UK",01506 439291,http://www.almondha.org.uk/,True,https://maps.google.com/?cid=56408462157982693,55.8940044,-3.5025632,1,OPERATIONAL,"establishment, point_of_interest"
PF001064,Angus Glen Properties Ltd,ChIJyTM6er9chkgRoeCn_STdjSA,Angus Glen Properties Ltd,4.8,59,"18 S Tay St, Dundee DD1 1PD, UK",01382 206100,http://www.angusglenproperties.com/,True,https://maps.google.com/?cid=2345774131874095265,56.4582004,-2.9762847,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000129,Angus Housing Association Limited,ChIJcfBdEbBdhkgR4AMD8iHqcCA,Angus Housing Association Ltd,4.1,26,"Torwood Pl, Dundee DD4 0UD, UK",0345 177 2244,http://www.angusha.org.uk/,True,https://maps.google.com/?cid=2337625638120391648,56.4922236,-2.9296664,1,OPERATIONAL,"establishment, point_of_interest"
PF000129,Angus Housing Association Limited,ChIJ_QgyxxeNhkgRW3VvnoC9TJ8,Angus Housing Association Ltd,3.2,20,"93 High St, Arbroath DD11 1DP, UK",0345 177 2244,http://www.angusha.org.uk/,True,https://maps.google.com/?cid=11478757910372119899,56.5585426,-2.5812899,2,OPERATIONAL,"establishment, point_of_interest"
PF001125,Annan Property Factors Limited,ChIJ20M6_K25h0gR4MnjRvm3PHc,Annan Solicitors & Estate Agents,4.4,82,"266 - 268 Portobello High St, Edinburgh EH15 2AT, UK",0131 669 2121,http://www.annanproperty.co.uk/,True,https://maps.google.com/?cid=8591944470380136928,55.9518472,-3.1101857,1,OPERATIONAL,"establishment, finance, point_of_interest, real_estate_agency"
PF000392,Anne Gordon,ChIJcwtvF21FiEgRKkLpGfaMY4o,AGPM,,0,"97 Milngavie Rd, Bearsden, Glasgow G61 2EL, UK",0141 432 3211,http://agpmscotland.co.uk/,True,https://maps.google.com/?cid=9971968988552970794,55.9179055,-4.3221567,1,OPERATIONAL,"establishment, point_of_interest"
PF000709,Aquila Management Services Limited,ChIJjVU8rY1riEgRBWX8uSHWwR4,Aquila Management Services Limited,4.9,45,"98 High St, Airdrie ML6 0DX, UK",01236 373882,http://www.aquilams.com/,True,https://maps.google.com/?cid=2216287931985585413,55.867669,-3.986257799999999,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF001082,Aquila Management Services Property Factoring Ltd,ChIJjVU8rY1riEgRBWX8uSHWwR4,Aquila Management Services Limited,4.9,45,"98 High St, Airdrie ML6 0DX, UK",01236 373882,http://www.aquilams.com/,True,https://maps.google.com/?cid=2216287931985585413,55.867669,-3.986257799999999,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000168,Ardenglen Housing Association Ltd,ChIJwXkO2DJHiEgRs-TDcADzKAk,Ardenglen Housing Association Ltd,3.9,37,"355 Tormusk Rd, Glasgow G45 0HF, UK",0141 634 8016,http://www.ardenglen.co.uk/,True,https://maps.google.com/?cid=660044528627213491,55.8051863,-4.2137435,1,OPERATIONAL,"establishment, point_of_interest"
PF000302,Argyll Community Housing Association Limited,ChIJj4-8BgRniUgRPRnPY1xYrAM,Argyll Community Housing Association,1.9,8,"Menzies House, Glenshellach Business Pk, Oban PA34 4RY, UK",01546 605930,http://www.acha.co.uk/index.htm,True,https://maps.google.com/?cid=264683631942768957,56.40206019999999,-5.4739064,1,OPERATIONAL,"establishment, point_of_interest"
PF000302,Argyll Community Housing Association Limited,ChIJTcYAWMyDiUgRbRdG8jj72tY,Argyll Community Housing Association,1,1,"Dalriada House, Lochnell St, Lochgilphead PA31 8ST, UK",01546 605800,http://www.acha.co.uk/,True,https://maps.google.com/?cid=15481962891040921453,56.03662,-5.432836,2,OPERATIONAL,"establishment, point_of_interest"
PF000302,Argyll Community Housing Association Limited,ChIJq6qqqgGWiUgR4BLqYobmX30,Argyll Community Housing Association,,0,"13-16 Longhill Cres, Rothesay, Isle of Bute PA20 0JT, UK",01546 605870,https://www.acha.co.uk/,True,https://maps.google.com/?cid=9034192842388017888,55.8375391,-5.0627096,3,OPERATIONAL,"establishment, point_of_interest"
PF000302,Argyll Community Housing Association Limited,ChIJ31GFARmsiUgRnhwwLDlkFDI,Argyll Homes for All Ltd,2.5,2,"Lamont, House 9, 19 Stuckleckie Rd, Helensburgh G84 7NL, UK",01546 605920,https://www.acha.co.uk/ahfa/,True,https://maps.google.com/?cid=3608619398147873950,56.0051806,-4.712008099999999,4,OPERATIONAL,"establishment, point_of_interest"
PF000302,Argyll Community Housing Association Limited,ChIJoe5SWsMCdkgRFNC0Lt-CC6M,Argyll Community Housing Association,4,1,"Ford Spence Court, Oban PA37 1PY, UK",01631 720552,https://www.acha.co.uk/,True,https://maps.google.com/?cid=11748627947998990356,51.4987772,-0.0342735,5,OPERATIONAL,"establishment, point_of_interest"
PF001070,Argyll Letting Services Limited,ChIJJYa3qsKliUgR1VLQ4_h2JXw,Argyll Sales and Letting Services,4.9,8,"64 John St, Dunoon PA23 8BJ, UK",01369 800205,http://www.argyll-letting.co.uk/,True,https://maps.google.com/?cid=8945687046187406037,55.9513629,-4.927379999999999,1,OPERATIONAL,"establishment, point_of_interest"
PF001070,Argyll Letting Services Limited,ChIJyZcP6cyDiUgRMg1vwvgOIhk,Argyll Estate Agents Lochgilphead & Oban,4.8,44,"20 Argyll St, Lochgilphead PA31 8NE, UK",01546 607045,http://www.argyllestateagents.com/,True,https://maps.google.com/?cid=1811026461733096754,56.037845,-5.432777199999999,2,OPERATIONAL,"establishment, point_of_interest"
PF001070,Argyll Letting Services Limited,ChIJVd8czIrxi0gRwOhzCUZZEsg,Argyll Properties Scotland,,0,"Unit 8a/The Factory Balisclate, Isle of Mull PA75 6QA, UK",01688 302821,,True,https://maps.google.com/?cid=14416683514507552960,56.61459559999999,-6.0714133,3,OPERATIONAL,"establishment, point_of_interest"
PF000926,ASC Asset Management (EK) Ltd,ChIJAQAEvspGiEgRcSw8ocNB4HE,A S C Group,,0,"99 Carstairs St, Glasgow G40 4JD, UK",01505 500270,https://www.asc-group.co.uk/,True,https://maps.google.com/?cid=8205630829548547185,55.84027,-4.2204729,3,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF001120,Athene Associates,ChIJwYbSI06nh0gR1S0vX163lEY,Athene Associates,,0,"37a Sidegate, Haddington EH41 4BU, UK",07771 897333,http://www.atheneassociates.co.uk/,True,https://maps.google.com/?cid=5085891495159868885,55.9547891,-2.774709,1,OPERATIONAL,"establishment, point_of_interest"
PF000189,Atrium Initiatives Limited,ChIJA4oEwmEtiEgR2Vvwl0kowbk,Atrium Homes,3.6,20,"14 Central Ave, Kilmarnock KA1 4PS, UK",01563 528816,https://www.atrium-homes.co.uk/,True,https://maps.google.com/?cid=13385023864068660185,55.5855409,-4.4950619,1,OPERATIONAL,"establishment, point_of_interest"
PF001144,Augusto Barale,ChIJdSLyAWZFiEgR5cf97qgzTbA,Let Us,5,125,"190 W George St, Glasgow G2 2NR, UK",0141 459 0252,http://www.letus.rent/,True,https://maps.google.com/?cid=12703866924539168741,55.8627791,-4.2590018,5,OPERATIONAL,"establishment, finance, point_of_interest, real_estate_agency"
PF000978,Avongreen Abodes Ltd,ChIJ2fgNAgFsiEgRFAZhTVoJ89U,Abode Estate Agency,4.6,42,"15 High St, Airdrie ML6 0DT, UK",01236 222777,https://www.abodeestateagency.co.uk/,True,https://maps.google.com/?cid=15416676232869250580,55.8683116,-3.9831812,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000978,Avongreen Abodes Ltd,ChIJuTQbnK4UiEgRwH5ZkVo-n7I,Upload Abode,4.9,162,"27 Woodlands Rd, Motherwell ML1 2PX, UK",01698 420884,http://www.uploadabode.co.uk/,True,https://maps.google.com/?cid=12871074818754707136,55.7766077,-3.9827401,2,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000990,AWM CONSTRUCTION (SCOTLAND) LTD,ChIJ76u8Xv3ah0gRfykK87XPjaQ,Awm Construction Scotland Ltd,3,2,"12 Newhouses Rd, Broxburn EH52 5NZ, UK",01506 858862,http://www.awm-construction.co.uk/,True,https://maps.google.com/?cid=11857361774309943679,55.9325566,-3.454526,1,OPERATIONAL,"establishment, general_contractor, point_of_interest"
PF000260,Ayrshire Housing,ChIJZbqGtZ_WiUgRCCmLjjbr1M8,Ayrshire Housing,4.1,41,"119 Main St, Ayr KA8 8BX, UK",01292 880120,https://ayrshirehousing.org.uk/,True,https://maps.google.com/?cid=14975853280465987848,55.4680733,-4.6299357,1,OPERATIONAL,"establishment, point_of_interest"
PF000260,Ayrshire Housing,ChIJJzJJnMQniEgRSiM9OctTtQg,Shire Housing Association Ltd,4.1,32,"Netherthird House, 15 Glaisnock Rd, Cumnock KA18 3DB, UK",01290 421130,http://www.shirehousing.co.uk/,True,https://maps.google.com/?cid=627499855391826762,55.44552789999999,-4.256113099999999,2,CLOSED_TEMPORARILY,"establishment, point_of_interest"
PF000260,Ayrshire Housing,ChIJsb-oCZ7WiUgRJ8fLaI2I8p4,South Ayrshire Council Housing,3.8,5,"21 River Terrace, Ayr KA8 0AU, UK",0300 123 0900,https://www.south-ayrshire.gov.uk/apply-for-council-housing/,True,https://maps.google.com/?cid=11453366943286544167,55.464493,-4.6280906,3,OPERATIONAL,"establishment, point_of_interest"
PF000260,Ayrshire Housing,ChIJZ_1MMnrOiUgR1RRYaaALNpY,Irvine Housing Association,2.9,35,"44-46 Bank St, Irvine KA12 0LP, UK",0345 112 6600,https://www.irvineha.co.uk/,True,https://maps.google.com/?cid=10823851538021618901,55.61583700000001,-4.6632776,4,OPERATIONAL,"establishment, point_of_interest"
PF000260,Ayrshire Housing,ChIJUbnIwADJiUgRweMGw4TuCoM,Hanover Scotland Housing Assocation Ltd,5,2,"17 Morris Ct, James St, Dalry KA24 5FB, UK",01294 834128,,True,https://maps.google.com/?cid=9442621822710768577,55.7102795,-4.7237633,5,OPERATIONAL,"establishment, point_of_interest"
PF000969,Barrhead Housing Association Limited,ChIJN24TSrJJiEgRbTUa-M7DE_8,Barrhead Housing Association,3.4,15,"70 Main St, Barrhead, Glasgow G78 1SB, UK",0141 881 0638,http://www.barrheadha.org/,True,https://maps.google.com/?cid=18380249797922272621,55.7992589,-4.3948861,1,OPERATIONAL,"establishment, point_of_interest"
PF000969,Barrhead Housing Association Limited,ChIJUy0toE1IiEgROIk1pa93Ty0,Hanover Scotland Housing Association Ltd,4,4,"St Marys Gardens, Barrhead, Glasgow G78 2LL, UK",0141 880 8829,https://www.hanover.scot/,True,https://maps.google.com/?cid=3264959851141630264,55.8007174,-4.3859124,2,OPERATIONAL,"establishment, point_of_interest"
PF000435,Bastion Property Management Ltd,ChIJ2QDSjXR-iEgR5MNvyCgw-kc,Bastion Property Management,4.2,15,"Upper Craigs, Stirling FK8 2DG, UK",01786 449704,http://www.bastionpropertymanagement.com/,True,https://maps.google.com/?cid=5186510872590140388,56.1162365,-3.9358637,1,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000626,Bell Ingram LLP,ChIJxccjbJzWiUgRCJ7r0ZB4Cc0,Bell Ingram Ayrshire LLP,4.8,4,"33 Sandgate, Ayr KA7 1BG, UK",01292 886544,http://www.bellingram.co.uk/,True,https://maps.google.com/?cid=14774472615958126088,55.4636213,-4.6326843,1,OPERATIONAL,"establishment, point_of_interest"
PF000626,Bell Ingram LLP,ChIJcY9v8E1xj0gRhgEf8IzPWiA,Bell Ingram Highland,5,15,"5 High St, Beauly IV4 7BS, UK",01463 717799,https://bellingram.co.uk/our-offices/highland/,True,https://maps.google.com/?cid=2331403961348587910,57.48335849999999,-4.4604443,2,OPERATIONAL,"establishment, point_of_interest"
PF000626,Bell Ingram LLP,ChIJ6TrUXW07hkgRkEcC1HcgqbI,Bell Ingram Perth,3.7,7,"2 Isla Rd, Perth PH2 7HF, UK",01738 621121,https://bellingram.co.uk/our-offices/perth/,True,https://maps.google.com/?cid=12873856708845389712,56.4037056,-3.4247784,3,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000626,Bell Ingram LLP,ChIJhSA40o1jhkgR0-JiAE40dYA,Bell Ingram Forfar Office,5,4,"Manor St, Forfar DD8 1EX, UK",01307 462516,https://www.bellingram.co.uk/our-offices/forfar/,True,https://maps.google.com/?cid=9256362118748496595,56.6453234,-2.8922101,4,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000721,BeneFactors Property Management Limited,ChIJG9HaiCgOhEgRuIrR1jR-Liw,BeneFactors Property Management Limited,5,5,"7 Queen's Gardens, Aberdeen AB15 4YD, UK",01224 900148,http://www.benefactorsproperty.co.uk/,True,https://maps.google.com/?cid=3183620752004975288,57.14304689999999,-2.1283555,1,OPERATIONAL,"establishment, point_of_interest"
PF000146,Bield Housing & Care,ChIJx_v2BZlFiEgRYs6JNW300-s,Bield Housing & Care,4.3,3,"7 Eagle St, Glasgow G4 9XA, UK",0141 270 7200,http://www.bield.co.uk/,True,https://maps.google.com/?cid=16993194568885849698,55.87561609999999,-4.2541882,1,OPERATIONAL,"establishment, point_of_interest"
PF000146,Bield Housing & Care,ChIJe8KIqX_Gh0gRfCjYz6FGu_g,Bield Housing and Care,3.8,5,"15 Dunsmuir Ct, Corstorphine, Edinburgh EH12 7TE, UK",0131 334 9802,http://www.bield.co.uk/,True,https://maps.google.com/?cid=17922996802841749628,55.93894820000001,-3.2908931,2,OPERATIONAL,"establishment, point_of_interest"
PF000146,Bield Housing & Care,ChIJeVTjz49FiEgRzvbcKB7UwcE,Bield Housing Association Ltd,,0,"20 Castlebank Gardens, Glasgow G13 2BG, UK",0141 959 0511,https://www.bield.co.uk/,True,https://maps.google.com/?cid=13961673545824925390,55.8910956,-4.3306153,3,OPERATIONAL,"establishment, health, point_of_interest"
