registration_number,name,document_name,document_url,document_type,document_year,scraped_business_website
PF000219,Homes for Life Housing Partnership,Life Property Management,https://jamesgibb.co.uk/,Acquired by James Gibb (dissolved),2025,Business website:www.homesforlife.co.uk/(opens in new tab)
PF000095,FirstPort Property Services Scotland Limited,FirstPort Property Services (Scotland) Ltd,https://www.firstport.co.uk/what-we-do/scotland-property-factor/,Portal/request,,Business website:www.firstport.co.uk/(opens in new tab)
PF000287,Wheatley Homes Glasgow Limited,Glasgow Housing Association,https://www.lowtherhomes.com/factoring/customer-area/written-statement,Via Lowther Homes,2024,Business website:www.lowtherhomes.com(opens in new tab)
PF000329,Glasgow West Enterprises Limited,Glasgow Housing Association,https://www.lowtherhomes.com/factoring/customer-area/written-statement,Via Lowther Homes,2024,
PF000347,Glasgow Harbour Management Ltd,Glasgow Housing Association,https://www.lowtherhomes.com/factoring/customer-area/written-statement,Via Lowther Homes,2024,
PF000348,North Glasgow Housing Association Limited,Glasgow Housing Association,https://www.lowtherhomes.com/factoring/customer-area/written-statement,Via Lowther Homes,2024,
PF001066,Metropole Glasgow Limited,Glasgow Housing Association,https://www.lowtherhomes.com/factoring/customer-area/written-statement,Via Lowther Homes,2024,
PF000759,NRV Management Glasgow Limited,Glasgow Housing Association,https://www.lowtherhomes.com/factoring/customer-area/written-statement,Via Lowther Homes,2024,
PF000785,Lowther Homes Limited,Lowther Homes,https://www.lowtherhomes.com/__data/assets/pdf_file/0025/117871/102877_LOW_Written-Statement_Part-2_Mar24_v2.pdf,WSS Part 2,2024,Business website:www.lowtherhomes.com(opens in new tab)
PF000106,Clyde Valley Property Services Limited,Clyde Valley Housing Association,https://cvha.org.uk/data/CVPS1_Property_Factoring_Policy_2025_06_16_11_31_32.pdf,Factoring Policy,2025,Business website:www.cvha.co.uk(opens in new tab)
PF000932,River Clyde Homes,Clyde Valley Housing Association,https://cvha.org.uk/data/CVPS1_Property_Factoring_Policy_2025_06_16_11_31_32.pdf,Factoring Policy,2025,
PF000289,Clydesdale Housing Association Ltd,Clyde Valley Housing Association,https://cvha.org.uk/data/CVPS1_Property_Factoring_Policy_2025_06_16_11_31_32.pdf,Factoring Policy,2025,Business website:www.clydesdale-housing.org.uk(opens in new tab)
PF000231,Clydebank Housing Association Limited,Clyde Valley Housing Association,https://cvha.org.uk/data/CVPS1_Property_Factoring_Policy_2025_06_16_11_31_32.pdf,Factoring Policy,2025,Business website:www.clydebank-ha.org.uk(opens in new tab)
PF000355,Link Housing Association Limited,Link Group,https://linkhousing.org.uk/download.cfm?doc=docm93jijm4n1309.pdf&ver=1667,WSS,,
PF000331,Calvay Housing Association Ltd,Calvay Housing Association,https://www.calvay.org.uk/data/PROPERTY_FACTORS_WRITTEN_STATEMENT_2025_06_18_10_21_14_265.pdf,WSS,2025,Business website:www.calvay.org.uk(opens in new tab)
PF000711,West Lothian Council ,West Lothian Council,https://www.westlothian.gov.uk/media/31655/Written-statement-on-Factoring/pdf/Written_Statement_of_Factoring_Services.pdf,WSS,2021,Business website:www.westlothian.gov.uk(opens in new tab)
PF000334,West Dunbartonshire Council,West Dunbartonshire Council,https://www.west-dunbarton.gov.uk/media/4318762/written-statement.pdf,WSS,,Business website:www.west-dunbarton.gov.uk(opens in new tab)
PF001012,Factors Direct Limited,Factors Direct Limited,https://factorsdirect.co.uk/written-statement-of-services,WSS Page,,
PF000287,Wheatley Homes Glasgow Limited,Glasgow West Enterprises Ltd,https://gwha.org.uk/gwen/?id=263,WSS Page,,Business website:www.lowtherhomes.com(opens in new tab)
PF000329,Glasgow West Enterprises Limited,Glasgow West Enterprises Ltd,https://gwha.org.uk/gwen/?id=263,WSS Page,,
PF000347,Glasgow Harbour Management Ltd,Glasgow West Enterprises Ltd,https://gwha.org.uk/gwen/?id=263,WSS Page,,
PF000348,North Glasgow Housing Association Limited,Glasgow West Enterprises Ltd,https://gwha.org.uk/gwen/?id=263,WSS Page,,
PF001066,Metropole Glasgow Limited,Glasgow West Enterprises Ltd,https://gwha.org.uk/gwen/?id=263,WSS Page,,
PF000759,NRV Management Glasgow Limited,Glasgow West Enterprises Ltd,https://gwha.org.uk/gwen/?id=263,WSS Page,,
,,RMG Scotland,https://www.rmgscotland.com/wp-content/uploads/2022/04/Written-Statement-of-Services-April-2022.pdf,WSS,2022,
PF000294,Hillcrest Homes (Scotland) Ltd,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.hillcrest.org.uk(opens in new tab)
PF000287,Wheatley Homes Glasgow Limited,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.lowtherhomes.com(opens in new tab)
PF000378,Wheatley Homes East Limited,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.lowtherhomes.com(opens in new tab)
PF000484,Homesbook Factoring Limited,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,
PF000358,Wheatley Homes South Limited,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.lowtherhomes.com(opens in new tab)
PF000298,Blackwood Homes & Care,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,
PF000861,AboveBoard Homes Ltd,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.aboveboard.homes(opens in new tab)
PF000932,River Clyde Homes,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,
PF000283,Harbour Homes Scotland Limited,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.harbour.scot(opens in new tab)
PF000869,Blosshome Property Management Ltd,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,
PF000131,Dumfries and Galloway Homes Limited,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.loreburn.org.uk(opens in new tab)
PF000825,Guild Homes (Tayside) Ltd,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.guild-homes.co.uk(opens in new tab)
PF000219,Homes for Life Housing Partnership,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.homesforlife.co.uk/(opens in new tab)
PF000362,Individually Designed Homes Ltd,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.i-d-h.co.uk(opens in new tab)
PF000786,Melfort Pier Homeowners Association,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,
PF001153,West Homes Property Management Ltd,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,
PF000785,Lowther Homes Limited,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,Business website:www.lowtherhomes.com(opens in new tab)
,Home in Scotland Ltd,Home Group,https://media.umbraco.io/home-group-heartcore/veobxbm5/written-statement-of-service-2021.pdf,WSS,2021,
PF000105,Bridgewater Housing Association Ltd,Bridgewater Housing Association Written Statement of Services (Factoring),https://www.bridgewaterha.org.uk/written-statement-of-services/,WSS Page,2021,Business website:www.bridgewaterha.org.uk
PF000361,Fife Council,Fife Council Factoring Service Written Statement of Services,https://www.fife.gov.uk/__data/assets/file/0014/40091/Final-Written-Statement-Final-2025.pdf,WSS,2025,Business website:www.fife.gov.uk
PF000264,Oak Tree Housing Association Ltd,Oak Tree Housing Association Written Statement of Services (Housing Estate Services),https://www.oaktreeha.org.uk/data/Landscaping_customers_final_Written_Statement_of_Factoring_estate_services_REVISED_Jan_2024_2025_01_22_13_42_16_294.pdf,WSS,2024,Business website:www.oaktreeha.org.uk
PF000162,Linthouse Housing Association Limited,Linthouse Housing Association Written Statement of Services (within policy document),https://www.linthouseha.com/document-library/download/35,Terms/WSS-equivalent,,Business website:www.linthouseha.com
PF000932,River Clyde Homes,Final WSOS Principal Version,https://www.riverclydehomes.org.uk/uploaded/river-clyde-web/passthrough/final_wsos_principal_version_1.pdf,WSS,,Business website:www.riverclydehomes.org.uk
PF000397,Dalmuir Park Housing Association,Factoring Handbook & Written Statement of Service (WSS included),https://www.dpha.org/media/1036/handbook-may23.pdf,WSS (embedded),2023,Business website:www.dpha.org
PF000154,Cassiltoun Housing Association Ltd,Cassiltoun Statement Of Services (May 2025),https://cassiltoun.org.uk/wp-content/uploads/2025/06/Cassiltoun-Statement-Of-Services-May-2025.pdf,WSS,2025,Business website:www.cassiltoun.org.uk
PF000154,Cassiltoun Housing Association Ltd,Statement of Services (May 2019),https://cassiltoun.org.uk/wp-content/uploads/2019/05/StatementofServicesMay2019.pdf,WSS,2019,Business website:www.cassiltoun.org.uk
PF000283,Harbour Homes Scotland Ltd,Harbour Homes Written Statement of Services,https://harbour.scot/homes/wp-content/uploads/sites/2/2023/03/Harbour-Homes-Written-Statement-of-Services.pdf,WSS,2023,Business website:harbour.scot
PF000343,East Renfrewshire Council,Factored Owners Written Statement of Services (print PDF),https://eastrenfrewshire.gov.uk/media/5890/Written-Statement-of-Service-2021/pdf/written_statement_PRINT.pdf,WSS,2021,Business website:www.eastrenfrewshire.gov.uk
PF000365,Falkirk Council,Factoring – Specimen Written Statement of Service (2025–2026) (host page),https://www.falkirk.gov.uk/private-housing/factoring,WSS Page/Doc,2025,Business website:www.falkirk.gov.uk
