matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000103,registration_number,James Gibb Property Management Ltd,PF000103,FTS/HPC/PF/24/3938,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf243938,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2025-11-19T12:00:00Z,Decision Issued,negative,,False,True,False,False,False,True,False,True,Written Decision and Notice of Proposal 19.11.2025 3938_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/Written%20Decision%20and%20Notice%20of%20Proposal%2019.11.2025%203938_Redacted.pdf,,
PF000153,registration_number,Charles White,PF000153,FTS/HPC/LM/24/3764,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm243764,,2025-10-21T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply ) (No proposed PFEO) LM 24.3764_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/Written%20Decision%20%28Failure%20to%20Comply%20%29%20%28No%20proposed%20PFEO%29%20LM%2024.3764_Redacted.pdf,,
,unmatched,,,FTS/HPC/PF/25/3350,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf253350,,2025-11-28T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,Written Decision (Rejection) PF.25.3350_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/Written%20Decision%20%28Rejection%29%20PF.25.3350_Redacted.pdf,,
PF000103,registration_number,James Gibb Property Management Ltd,PF000103,FTS/HPC/PF/24/5614,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf245614,,2025-11-05T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF 24.5614__Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF 24.5614_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF%2024.5614__Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF%2024.5614_Redacted.pdf,,
PF000956,registration_number,Curb Factoring,PF000956,FTS/HPC/LM/23/3165 | FTS/HPC/PF/24/0305,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm233165-ftshpcpf240305 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm233165-ftshpcpf240305,,2025-10-02T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) LM 23.3165  PF 24.0305_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) LM 23.3165  PF 24.0305_Redacted.pdf | Property Factor Enforcement Order (PFEO) LM.23.3165 & PF.24.0305_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20LM%2023.3165%20%20PF%2024.0305_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20LM%2023.3165%20%20PF%2024.0305_Redacted_0.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20LM.23.3165%20%26%20PF.24.0305_Redacted.pdf,,
PF000196,exact_name,Ross & Liddell,,FTS/HPC/PF/24/1702,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241702,,2025-11-24T12:00:00Z,Unknown,neutral,,False,False,False,False,False,False,False,False,REDACTED Proposed Property Factor Enforcement Order 24.11.2025 1702 (2).pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Proposed%20Property%20Factor%20Enforcement%20Order%2024.11.2025%201702%20%282%29.pdf,,
PF000391,exact_name,McCarthy & Stone Management Services Ltd,FTS/HPC/PF/25/3851,FTS/HPC/PF/25/3851,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf253851,"Communication and consultation (Section 2 of Code), Property Factor Duties",2025-11-28T12:00:00Z,Rejected,positive,,False,True,False,False,False,False,False,True,Rejection Written Decision 28.11.2025 3851 (1).pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/Rejection%20Written%20Decision%2028.11.2025%203851%20%281%29.pdf,,
PF000546,fuzzy_name (100%),RMG Property Factor,,FTS/HPC/PF/25/2524,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf252524,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2025-12-02T12:00:00Z,Rejected,positive,,True,True,True,True,False,False,True,True,REDACTED Written Decision (Rejection) 28.11.2025 2524.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Written%20Decision%20%28Rejection%29%2028.11.2025%202524.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/PF/24/0893,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf240893-0,"Written statement of services (Section 1 of Code), Financial obligations (Section 3 of Code)",2025-09-19T12:00:00Z,Complied,positive,resolved,True,False,True,False,False,False,False,False,REDACTED Property Factor Enforcement Order 19.09.2025 .pdf | REDACTED Compliance Decision Certificate of Compliance 13.11.2025 0893 (1).pdf,https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Property%20Factor%20Enforcement%20Order%2019.09.2025%20.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Compliance%20Decision%20Certificate%20of%20Compliance%2013.11.2025%200893%20%281%29.pdf,,
PF000288,registration_number,Hacking & Paterson Management Services,PF000288,FTS/HPC/PF/24/1381,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241381,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-12-10T12:00:00Z,Failure to Comply,negative,unresolved,True,True,True,True,False,False,True,True,Property Factor Enforcement Order (PFEO) (Proposed) 1381 redacted.pdf | Written Decision (Failure to Comply) (Proposed PFEO) 1381 Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-03/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%201381%20redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-03/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%201381%20Redacted.pdf,2025UT83,https://www.scotcourts.gov.uk/media/wbhnaucv/upper-tribunal-decision-2025ut83-stephenmcdougall-against-hackingpatersonmanagementservices.pdf
PF000153,registration_number,Charles White Limited,PF000153,FTS/HPC/PF/23/4521 | FTS/HPC/PF/24/1454 | FTS/HPC/PF/24/2449 | FTS/HPC/PF/24/2731,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234521-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234521-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234521-others | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234521-others,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2024-11-12T12:00:00Z,Complied,positive,resolved,True,True,False,False,True,False,True,True,"Written Decision (Failure to Comply) (Proposed PFEO) and Written Decision (Complied) 4521 & others Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) 4521 Redacted.pdf | Written Decision (Failure to Comply) (PFEO) 4521, 1454, 2449, 2731 Redacted.pdf | Property Factor Enforcement Order (PFEO) PF.23.4521_Redacted.pdf | Certificate of Compliance PF.23.4521_Redacted.pdf",https://housingandpropertychamber.scot/sites/default/files/2025-02/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20and%20Written%20Decision%20%28Complied%29%204521%20%26%20others%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-02/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%204521%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-04/Written%20Decision%20%28Failure%20to%20Comply%29%20%28PFEO%29%204521%2C%201454%2C%202449%2C%202731%20Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF.23.4521_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/Certificate%20of%20Compliance%20PF.23.4521_Redacted.pdf,2025UT67 | 2025UT84,https://www.scotcourts.gov.uk/media/cvldieuy/upper-tribunal-decision-shinwell-v-charles-white-limited-2025ut67.pdf | https://www.scotcourts.gov.uk/media/4dplxhsd/upper-tribunal-for-scotland-decision-shinwell-v-charles-white-2025ut84.pdf
PF000152,exact_name,River Clyde Homes,,FTS/HPC/PF/24/4033,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf244033,"Complaints resolution (Section 7 of Code), Property Factor Duties",2025-11-19T12:00:00Z,PFEO Issued - Non-Compliant,negative,unresolved,False,False,False,False,False,False,True,True,REDACTED Written Decision Failure to Comply (No PPFEO) 19.11.2025 4033 (1).pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Written%20Decision%20Failure%20to%20Comply%20%28No%20PPFEO%29%2019.11.2025%204033%20%281%29.pdf,,
PF000288,registration_number,Hacking & Paterson,PF000288,FTS/HPC/PF/25/0043,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf250043,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Complaints resolution (Section 7 of Code), Property Factor Duties",2025-11-26T12:00:00Z,Dismissed,positive,,True,True,False,False,False,True,True,True,REDACTED Notice of Decision (Dismissal) 26.11.2025 0043 (1).pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Notice%20of%20Decision%20%28Dismissal%29%2026.11.2025%200043%20%281%29.pdf,,
PF000095,registration_number,FirstPort Property Services Ltd,PF000095,FTS/HPC/PF/24/2715,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242715,,2024-12-10T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF.24.2715_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF 24.2715_Redacted.pdf | Property Factor Enforcement Order (PFEO) PF 24.2715_Redacted.pdf | Written Decision (Failure to Comply with Order) PF 24.2715_Redacted.pdf | Written Decision (Certificate of Compliance) PF.24.2715_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-05/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.24.2715_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-05/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF%2024.2715_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-08/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF%2024.2715_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/Written%20Decision%20%28Failure%20to%20Comply%20with%20Order%29%20PF%2024.2715_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/Written%20Decision%20%28Certificate%20of%20Compliance%29%20PF.24.2715_Redacted.pdf,,
PF000976,registration_number,"W.M Cumming, Turner & Watt",PF000976,FTS/HPC/PF/24/1647,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241647,"Communication and consultation (Section 2 of Code), Insurance (Section 5 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2025-09-06T12:00:00Z,Failure to Comply,negative,unresolved,False,True,False,False,True,True,False,True,REDACTED Proposed PFEO 1647.pdf | PFEO -19.11.25- PF.24.1647_Redacted.pdf | Written Decision (Failure to Comply) (Proposed PFEO) 6.09.2025 - 1647_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Proposed%20PFEO%201647.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/PFEO%20-19.11.25-%20PF.24.1647_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%206.09.2025%20-%201647_Redacted_0.pdf,,
PF000196,registration_number,Ross and Liddell,PF000196,FTS/HPC/PF/25/0301,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf250301,"Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code)",2025-09-11T12:00:00Z,Complied,positive,resolved,False,True,False,False,False,True,False,False,REDACTED Proposed Property Factor Enforcement Order (5.10.25) 0301.pdf | REDACTED Written Decision (Failure to Comply) (Proposed PFEO) (5.10.25) 0301.pdf | REDACTED Property Factor Enforcement Order (22.11.25) 0301.pdf | REDACTED Certificate of Compliance (22.11.25) 0301.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Proposed%20Property%20Factor%20Enforcement%20Order%20%285.10.25%29%200301.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20%285.10.25%29%200301.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Property%20Factor%20Enforcement%20Order%20%2822.11.25%29%200301.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Certificate%20of%20Compliance%20%2822.11.25%29%200301.pdf,,
PF000108,registration_number,Newton Property Factors,PF000108,FTS/HPC/PF/23/4574 | FTS/HPC/PF/23/4578 | FTS/HPC/PF/23/4579 | FTS/HPC/PF/23/4580 | FTS/HPC/PF/23/4582 | FTS/HPC/PF/23/4583 | FTS/HPC/PF/23/4584 | FTS/HPC/PF/23/4586,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234574-ftshpcpf234578-ftshpcpf234579-ftshpcpf234580,"Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Carrying out repairs and maintenance(Section 6 of Code)",2025-11-12T12:00:00Z,Decision Issued,negative,,False,True,True,False,False,True,False,False,Decision - 12.11.25 - PF4582 and others_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/Decision%20-%2012.11.25%20-%20PF4582%20and%20others_Redacted.pdf,,
,unmatched,,,FTS/HPC/PF/25/1748,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf251748,,2025-11-13T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,REDACTED Written Decision (Reject) (13.11.25) 1748.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Written%20Decision%20%28Reject%29%20%2813.11.25%29%201748.pdf,,
,unmatched,,,FTS/HPC/LM/25/3046,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm253046,,2025-11-13T12:00:00Z,Rejected,positive,,False,False,False,False,False,False,False,False,REDACTED Written Decision (Reject) (13.11.25) 3046.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/REDACTED%20Written%20Decision%20%28Reject%29%20%2813.11.25%29%203046.pdf,,
