id,case_reference,fee_type,amount,period,vat,quote,notes,is_disputed,tribunal_finding
33,FTS/HPC/PF/23/0006+0367,other,1008.0,,unknown,"Castle Grange contingency fund subs, August 2023",split among the owners,1,
34,FTS/HPC/PF/23/0690,other,150.0,one_off,unknown,it was a strict condition of the Factor’s appointment that owners paid a float of £150.00 in advance of the start date.,Float payment,1,
35,FTS/HPC/PF/22/2897,management_fee,95.0,annual,unknown,"The Property Factor also accepted that it should credit the annual management fee due to its failings to the Homeowner’s account, being £95.00.",Annual fee,0,
36,FTS/HPC/PF/22/2897,common_repairs,45.83,one_off,unknown,The Property Factor in its submissions to the Tribunal conceded that it should credit to the Homeowner’s account the Homeowner’s 1/12th share of £550.00.,Share of roof repair,1,
37,FTS/HPC/PF/22/2897,common_repairs,17.67,annual,unknown,the Property Factor made various concessions as a goodwill gesture in an effort to reach a global settlement of the Homeowner’s claim rather than as discrete and conceded separate elements of her claim.,Share of cleaning charge,1,
38,FTS/HPC/PF/22/3985 + 7 others,management_fee,,annual,unknown,"The written statement should set out: the management fee charged, including any fee structure and also processes for reviewing and increasing or decreasing this fee",management fee,1,The Tribunal did not find there had been failures to comply with these paragraphs
39,FTS/HPC/PF/22/3985 + 7 others,management_fee,44.17,one_off,unknown,"There was no indication of how the Property Factor arrived at the credit of £44.17, which was lower than the sum due",Credit given,0,
40,FTS/HPC/PF/22/3985 + 7 others,admin_fee,2100.0,one_off,unknown,The closing account fee was £2100.,Closing account fee,1,"On the information before it, the Tribunal was unable to find that there had been a failure to comply with this paragraph of the Code."
41,FTS/HPC/PF/22/3985 + 7 others,admin_fee,50.0,one_off,unknown,A charge of £50 plus VAT was made to each of the 35 homeowners.,admin fee,1,"On the information before it, the Tribunal was unable to find that there had been a failure to comply with this paragraph of the Code."
42,FTS/HPC/PF/22/1581,late_payment,480.0,one_off,unknown,The Property Factor has applied the sum of £480 in late payment charges to the Homeowner’s account.,various dates,1,The Tribunal took the view that the sum of £360 in respect of late payment charges and the charge for the Notice of Potential Liability should be removed from the Homeowner’s account.
43,FTS/HPC/PF/22/1581,other,240.0,one_off,unknown,The Property Factor has applied the sum of £240 for registration of a Notice of Potential Liability to the Homeowner’s account.,Notice of Potential Liability,1,The Tribunal took the view that the sum of £360 in respect of late payment charges and the charge for the Notice of Potential Liability should be removed from the Homeowner’s account.
44,FTS/HPC/LM/22/4137,management_fee,100.0,one_off,unknown,The application stated that the Homeowner is unhappy about the apportionment charge of £100 for providing a final invoice.,Apportionment fee,1,The Tribunal determine that the Property Factor charged the apportionment fee in line with their written statement of services and schedule of fees and the Property Factor has not failed to comply with the property factor’s duties.
45,FTS/HPC/PF/19/4002,admin_fee,80.0,one_off,yes,He is unhappy that the Respondent has charged an administration fee of £80 plus VAT for dealing with the apportionment of costs at the time of the sale.,apportionment fee,1,We do not consider the charging of the apportionment fee itself to constitute a breach of the Code.
46,FTS/HPC/PF/21/3005,management_fee,50.0,annual,unknown,annual management fee of £50.00 plus VAT,Original Fee,1,
47,FTS/HPC/PF/21/3005,management_fee,53.0,annual,unknown,annual management fee had been increased to £53.00 plus VAT,Increased Fee,0,
48,FTS/HPC/PF/21/2686,other,12.0,monthly,unknown,a monthly administration charge of £12 for correspondence in relation to the account,admin fee,1,neither unreasonable nor excessive.
49,FTS/HPC/PF/21/1295,management_fee,134.0,annual,unknown,annual management fee of £134,2020,0,
50,FTS/HPC/PF/21/0079,management_fee,117.0,annual,unknown,The annual factoring charge per residential unit is £117 plus VAT per annum.,per residential unit,0,
51,FTS/HPC/PF/21/0629,management_fee,150.0,annual,unknown,Management Fee share as per title deed @£150 per year,Invoice from Sept 2017,1,The Invoice was for moneys which the Respondents wrongly thought were due annually from each owner and was not a charge being levied for management services provided by the Respondents.
52,FTS/HPC/LM/21/0858,insurance_premium,36.93,quarterly,unknown,"The bill is for the sum of £93.57, comprising an insurance cost of £36.93 and a factoring management fee of £47.20 plus VAT on the management fee.",Most recent bill,0,
53,FTS/HPC/LM/21/0858,management_fee,47.2,quarterly,unknown,"The bill is for the sum of £93.57, comprising an insurance cost of £36.93 and a factoring management fee of £47.20 plus VAT on the management fee.",Most recent bill,0,
54,FTS/HPC/PF/20/2674,management_fee,120.0,annual,unknown,In 2020 the applicant paid £120 in management fees to the property factor.,2020 fee,0,
55,FTS/HPC/PF/20/2674,management_fee,620.0,one_off,unknown,Within 28 days of the date of service on the respondent of this property factor enforcement order the respondent must pay the applicant £620.00 representing the property factors management fee for 2020 together with a financial penalty for breaching the code of conduct and failing in the property factors duties.,"ordered in PFEO, representing fees paid for 2020",1,The tribunal has ordered the property factor to reimburse the management fee for 2020 as a result of failure in duties and breach of the code of conduct.
56,FTS/HPC/PF/20/0783,management_fee,30.0,quarterly,unknown,"Management fees from 1 June 2016, when the respondent took over management of the development, was fixed at £30 plus VAT per flat per quarter.",2016 fee,0,
57,FTS/HPC/PF/20/0783,management_fee,33.1,quarterly,unknown,The current quarterly charge is now £33.10 plus VAT per flat per quarter (£132.40 plus VAT annually).,current fee,0,
58,FTS/HPC/PF/20/2270,management_fee,41.75,quarterly,unknown,"The management fee is shown within the invoices from the property factors dated, 15th May, 9th August and 9th November 2018 at the sum of £41.75 per quarter.",2018 fee,1,The homeowner was liable to pay the management fee in place in 2018.
59,FTS/HPC/PF/20/2270,management_fee,1.0,annual,unknown,"Mr Grant submitted that, as a matter of law, the title conditions place an obligation on the homeowner to pay no more than one pound per annum.",Fee stated in title deeds,0,
60,FTS/HPC/PF/20/1396,management_fee,32.5,quarterly,unknown,"From the invoices provided, it can be seen that the Factor’s management fee amounted to £32.50, rising to £39 per quarter.",invoice fees,0,
61,FTS/HPC/PF/20/1396,management_fee,39.0,quarterly,unknown,"From the invoices provided, it can be seen that the Factor’s management fee amounted to £32.50, rising to £39 per quarter.",invoice fees,0,
62,FTS/HPC/PF/20/1396,admin_fee,120.0,one_off,unknown,including a debt recovery administrative fee for £120 in respect of ‘Court action.’,unwarranted fee,1,"The £120 charge in respect of court proceedings was not warranted at all, given the absence of actual court proceedings or any prior steps having been undertaken pursuant to the Factor’s debt recovery procedure."
63,FTS/HPC/PF/18/0477,management_fee,,,unknown,In addition the tribunal considers that the homeowner is entitled to a refund of the management fees charged by the factors throughout that period.,Refund of fees,0,
64,FTS/HPC/PF/17/0274,management_fee,117.83,annual,unknown,the management fee charged by the Factor amounts to £117.83 plus VAT per property per annum,2016 fee,0,
65,FTS/HPC/PF/17/0274,management_fee,7069.8,annual,unknown,"providing a total charge for the development of £7,069.80 plus VAT.",development fee,0,
66,FTS/HPC/PF/17/0274,reserve_fund,25.0,monthly,unknown,the regular contributions to the sinking fund are set at £25 per month per unit,2016 fee,0,
67,FTS/HPC/PF/17/0207,management_fee,300.0,annual,unknown,"The Homeowner paid factoring charges of £300 per annum, payable quarterly.",factoring charges,0,
68,HOHP/PF/16/0140,management_fee,25.0,one_off,unknown,The factor's Written Statement of Service at paragraph 4 states that the maintenance charge is £25.00,Annual,1,"The tribunal, having regard to Ms. Bennie's submissions, the factor's Written Statement of Services and the correspondence lodged by both parties is satisfied that the factor both intimated the level of charge to the homeowner and applied the charge properly."
69,HOHP/PF/15/0122,management_fee,91.3,annual,unknown,The annual management fee was at that time stated to be £91.30 plus VAT.,2014 fee,0,
70,HOHP/PF/15/0122,other,132.0,one_off,unknown,and the cost of the registration of the Notice of £132 plus VAT.,NOPL registration fee,1,
71,HOHP/PF/13/0076,common_repairs,10.5,quarterly,unknown,The applicant pays £10.50 plus VAT per quarter,,0,
72,FTS/HPC/LM/20/2371,management_fee,38.32,annual,unknown,The management fee of £38.32 plus VAT,Annual,0,
